endtime,loudness
0.2953,0.8896
0.5682,0.1655
0.6698,0.9141
0.769,0.1551
0.8664,0.7183
0.9659,0.2059
1.0634,0.8362
1.1581,0.1843
1.2484,0.8434
1.5508,0.1729
1.6438,0.8559
1.7346,0.1636
1.8391,0.8085
2.1391,0.1781
2.2338,0.9104
2.3332,0.1955
2.4245,0.8611
2.52,0.1648
2.6235,0.8581
3.3252,0.1612
3.4159,0.7253
3.5099,0.1542
3.6037,0.7764
3.8777,0.1962
3.9801,0.8176
4.0874,0.1936
4.1927,0.8403
4.2935,0.2054
4.3951,0.7294
5.1484,0.206
5.2442,0.7282
5.3452,0.1836
5.6397,0.916
6.3228,0.1841
6.4297,0.8845
6.5369,0.1968
6.6435,0.8696
6.7347,0.154
6.829,0.9047
7.1517,0.2028
7.2493,0.731
7.3517,0.1941
7.4548,0.7997
7.7606,0.1752
8.0541,0.8414
8.1507,0.1727
8.4666,0.8343
8.7741,0.2009
8.8711,0.7937
8.9699,0.1775
9.294,0.8485
9.3956,0.1775
9.6709,0.7994
9.7717,0.1799
9.8755,0.789
10.1906,0.1935
10.294,0.8871
10.3952,0.1863
10.7143,0.8364
10.8214,0.1803
10.9248,0.8037
11.028,0.1914
11.1265,0.8227
11.4532,0.1922
11.5503,0.841
12.2287,0.1587
12.5051,0.7255
12.7993,0.1857
12.9065,0.9024
13.2071,0.1807
13.3058,0.911
13.4031,0.1948
13.5065,0.9279
13.6099,0.154
13.7185,0.9189
13.9917,0.1936
14.2671,0.7626
15.0041,0.1662
15.3041,0.9071
15.4059,0.1579
15.7051,0.8873
16.017,0.1683
16.1263,0.9005
16.4384,0.1727
16.5396,0.8682
16.6351,0.1713
16.7323,0.9215
16.8386,0.2041
16.9415,0.7456
17.2689,0.1786
17.3675,0.8106
17.4754,0.1612
17.5847,0.8741
17.6807,0.1827
17.7848,0.8426
18.0749,0.1804
18.1716,0.7601
18.2791,0.2002
18.579,0.8945
18.8692,0.1587
19.1393,0.8223
19.2394,0.1663
19.5548,0.8642
19.6609,0.1767
19.7594,0.9148
20.0591,0.1856
20.1553,0.8877
20.8679,0.1615
21.1599,0.863
21.4531,0.1975
21.556,0.7977
21.6541,0.1735
21.7629,0.8023
21.8725,0.1759
21.9687,0.7456
22.0588,0.1568
22.1604,0.7928
22.4678,0.1805
22.5718,0.7713
22.673,0.1838
22.9511,0.8908
23.247,0.1943
23.5361,0.7642
24.2349,0.1712
